Id,SalePrice
1461,124235.16
1462,150830.5
1463,175716.41
1464,182190.1
1465,196839.42
1466,184919.26
1467,183443.82
1468,173331.84
1469,184626.04
1470,121845.52
1471,206625.72
1472,93367.0
1473,95233.0
1474,153188.0
1475,127576.2
1476,419554.69
1477,245569.08
1478,317828.88
1479,276894.92
1480,444096.81
1481,302130.07
1482,206686.08
1483,186165.17
1484,172306.94
1485,180185.2
1486,196432.27
1487,303847.37
1488,238729.13
1489,199271.31
1490,217898.79
1491,193164.7
1492,89708.36
1493,186044.29
1494,312928.1
1495,293691.12
1496,235791.66
1497,197993.9
1498,155774.56
1499,160697.24
1500,167465.85
1501,170482.58
1502,162351.26
1503,326247.97
1504,235789.0
1505,218626.54
1506,184547.35
1507,223701.08
1508,184426.24
1509,161319.5
1510,153981.25
1511,148639.5
1512,177261.2
1513,150614.83
1514,158823.78
1515,190898.38
1516,158635.37
1517,146464.75
1518,135126.18
1519,223219.4
1520,136207.5
1521,136820.75
1522,161469.87
1523,113097.84
1524,123464.8
1525,118583.72
1526,120649.39
1527,104756.66
1528,131289.25
1529,146925.0
1530,173988.5
1531,144146.25
1532,110013.0
1533,145698.07
1534,115191.04
1535,138489.0
1536,118026.83
1537,92823.67
1538,172220.7
1539,217370.74
1540,118155.67
1541,142072.59
1542,133886.84
1543,198168.69
1544,76809.0
1545,102401.51
1546,133334.87
1547,139205.5
1548,126469.0
1549,116224.52
1550,144042.32
1551,118458.55
1552,141714.26
1553,128286.2
1554,127977.87
1555,161880.6
1556,103777.37
1557,107287.0
1558,95771.54
1559,100116.85
1560,155691.5
1561,129619.0
1562,130082.65
1563,127044.0
1564,160646.21
1565,148873.5
1566,231859.14
1567,77969.71
1568,229211.16
1569,140234.22
1570,137688.57
1571,129056.5
1572,140234.0
1573,234406.49
1574,134462.95
1575,219082.66
1576,232034.48
1577,198749.56
1578,152223.99
1579,139954.2
1580,189494.48
1581,140949.6
1582,130427.5
1583,316380.48
1584,235140.87
1585,139718.0
1586,73639.5
1587,104320.12
1588,141783.51
1589,87347.93
1590,133401.0
1591,108154.97
1592,123415.04
1593,118509.03
1594,131992.85
1595,122820.34
1596,236610.29
1597,154684.33
1598,189022.78
1599,217337.23
1600,194267.33
1601,96499.87
1602,114076.42
1603,101239.34
1604,275998.86
1605,254369.69
1606,171977.02
1607,153730.39
1608,218914.54
1609,190765.63
1610,165627.35
1611,146756.37
1612,179887.53
1613,165660.8
1614,124531.43
1615,83484.0
1616,79659.0
1617,86699.0
1618,126101.25
1619,132938.0
1620,150662.89
1621,134244.48
1622,149532.02
1623,275878.37
1624,212790.78
1625,128228.16
1626,174628.0
1627,186823.34
1628,270760.15
1629,179193.6
1630,326225.61
1631,214025.56
1632,234113.82
1633,174598.74
1634,189473.27
1635,183318.07
1636,167158.98
1637,179394.5
1638,203137.28
1639,174829.32
1640,239120.48
1641,178262.09
1642,233527.85
1643,232449.65
1644,230348.71
1645,195790.0
1646,161744.5
1647,164327.72
1648,137842.75
1649,138328.84
1650,119934.68
